Begin Date,End Date,DateID,stratum,LEGNO,lon.deg,lon.min,lon.dms,north.lat.deg,north.lat.min,north.lat.dms,south.lat.deg,south.lat.min,south.lat.dms
1-Oct-11,30-Nov-12,2011_2012,general.2011_2012,1,-71,8,-71.13333333,41,10,41.16666667,40,33,40.55
11-Oct-20,1-Nov-12,2011_2012,general.2011_2012,2,-71,7,-71.11666667,41,10,41.16666667,40,33,40.55
11-Oct-20,1-Nov-12,2011_2012,general.2011_2012,3,-71,6,-71.1,41,10,41.16666667,40,33,40.55
11-Oct-20,1-Nov-12,2011_2012,general.2011_2012,4,-71,5,-71.08333333,41,10,41.16666667,40,33,40.55
11-Oct-20,1-Nov-12,2011_2012,general.2011_2012,5,-71,4,-71.06666667,41,10,41.16666667,40,33,40.55
11-Oct-20,1-Nov-12,2011_2012,general.2011_2012,6,-71,3,-71.05,41,10,41.16666667,40,33,40.55
11-Oct-20,1-Nov-12,2011_2012,general.2011_2012,7,-71,2,-71.03333333,41,10,41.16666667,40,33,40.55
11-Oct-20,1-Nov-12,2011_2012,general.2011_2012,8,-71,1,-71.01666667,41,10,41.16666667,40,33,40.55
11-Oct-20,1-Nov-12,2011_2012,general.2011_2012,9,-71,0,-71,41,10,41.16666667,40,33,40.55
11-Oct-20,1-Nov-12,2011_2012,general.2011_2012,10,-70,59,-70.98333333,41,10,41.16666667,40,33,40.55
11-Oct-20,1-Nov-12,2011_2012,general.2011_2012,11,-70,58,-70.96666667,41,10,41.16666667,40,33,40.55
11-Oct-20,1-Nov-12,2011_2012,general.2011_2012,12,-70,57,-70.95,41,10,41.16666667,40,33,40.55
11-Oct-20,1-Nov-12,2011_2012,general.2011_2012,13,-70,56,-70.93333333,41,10,41.16666667,40,33,40.55
11-Oct-20,1-Nov-12,2011_2012,general.2011_2012,14,-70,55,-70.91666667,41,10,41.16666667,40,33,40.55
11-Oct-20,1-Nov-12,2011_2012,general.2011_2012,15,-70,54,-70.9,41,10,41.16666667,40,33,40.55
11-Oct-20,1-Nov-12,2011_2012,general.2011_2012,16,-70,53,-70.88333333,41,10,41.16666667,40,33,40.55
11-Oct-20,1-Nov-12,2011_2012,general.2011_2012,17,-70,52,-70.86666667,41,10,41.16666667,40,33,40.55
11-Oct-20,1-Nov-12,2011_2012,general.2011_2012,18,-70,51,-70.85,41,10,41.16666667,40,33,40.55
11-Oct-20,1-Nov-12,2011_2012,general.2011_2012,19,-70,50,-70.83333333,41,10,41.16666667,40,33,40.55
11-Oct-20,1-Nov-12,2011_2012,general.2011_2012,20,-70,49,-70.81666667,41,10,41.16666667,40,33,40.55
11-Oct-20,1-Nov-12,2011_2012,general.2011_2012,21,-70,48,-70.8,41,10,41.16666667,40,33,40.55
11-Oct-20,1-Nov-12,2011_2012,general.2011_2012,22,-70,47,-70.78333333,41,10,41.16666667,40,33,40.55
11-Oct-20,1-Nov-12,2011_2012,general.2011_2012,23,-70,46,-70.76666667,41,10,41.16666667,40,33,40.55
11-Oct-20,1-Nov-12,2011_2012,general.2011_2012,24,-70,45,-70.75,41,10,41.16666667,40,33,40.55
11-Oct-20,1-Nov-12,2011_2012,general.2011_2012,25,-70,44,-70.73333333,41,10,41.16666667,40,33,40.55
11-Oct-20,1-Nov-12,2011_2012,general.2011_2012,26,-70,43,-70.71666667,41,10,41.16666667,40,33,40.55
11-Oct-20,1-Nov-12,2011_2012,general.2011_2012,27,-70,42,-70.7,41,10,41.16666667,40,33,40.55
11-Oct-20,1-Nov-12,2011_2012,general.2011_2012,28,-70,41,-70.68333333,41,10,41.16666667,40,33,40.55
11-Oct-20,1-Nov-12,2011_2012,general.2011_2012,29,-70,40,-70.66666667,41,10,41.16666667,40,33,40.55
11-Oct-20,1-Nov-12,2011_2012,general.2011_2012,30,-70,39,-70.65,41,10,41.16666667,40,33,40.55
